state_name,state_abbr,state_fips,year,land_val_std,land_val_asis,land_share_prop,prop_val_std,prop_val_asis
Alabama,AL,1,2012,32800,68300,0.229,154400,158300
Alabama,AL,1,2013,30300,63800,0.216,150700,154000
Alabama,AL,1,2014,29600,62500,0.215,150400,151500
Alabama,AL,1,2015,30400,64400,0.212,155000,156200
Alabama,AL,1,2016,32300,68500,0.213,161700,164300
Alabama,AL,1,2017,32600,69200,0.208,165100,165700
Alabama,AL,1,2018,33100,70600,0.208,172500,172800
Alabama,AL,1,2019,35400,75700,0.207,184400,185900
Alabama,AL,1,2020,40400,87300,0.208,202200,209100
Alabama,AL,1,2021,41800,90500,0.197,228400,229300
Alabama,AL,1,2022,43600,93600,0.19,256500,250600
Alaska,AK,2,2012,86300,250400,0.303,340500,292700
Alaska,AK,2,2013,87800,255400,0.302,345900,296900
Alaska,AK,2,2014,86900,253900,0.292,354300,303800
Alaska,AK,2,2015,93300,271500,0.302,368400,316300
Alaska,AK,2,2016,94400,274300,0.304,370900,317800
Alaska,AK,2,2017,95300,279700,0.31,370200,315900
Alaska,AK,2,2018,97100,284500,0.309,377900,323500
Alaska,AK,2,2019,98500,287200,0.304,387300,332000
Alaska,AK,2,2020,100400,290400,0.298,404100,346200
Alaska,AK,2,2021,104500,304600,0.287,437200,374000
Alaska,AK,2,2022,101200,291500,0.258,473100,405800
Arizona,AZ,4,2012,51900,191900,0.252,201600,200700
Arizona,AZ,4,2013,55400,206800,0.248,220000,218500
Arizona,AZ,4,2014,60200,225900,0.253,235200,232200
Arizona,AZ,4,2015,64400,241700,0.258,247300,243600
Arizona,AZ,4,2016,69800,262100,0.262,264100,258900
Arizona,AZ,4,2017,75000,280900,0.264,281700,274600
Arizona,AZ,4,2018,83500,313400,0.273,302700,294500
Arizona,AZ,4,2019,89400,335200,0.273,324700,315500
Arizona,AZ,4,2020,99700,373700,0.276,358800,348200
Arizona,AZ,4,2021,129200,484300,0.287,448800,432700
Arizona,AZ,4,2022,163300,614900,0.303,536400,516000
Arkansas,AR,5,2012,28900,64900,0.236,154400,141900
Arkansas,AR,5,2013,27700,62200,0.232,152200,140200
Arkansas,AR,5,2014,27000,60900,0.228,153300,139900
Arkansas,AR,5,2015,26800,59700,0.219,157000,143400
Arkansas,AR,5,2016,28300,63800,0.221,162100,149700
Arkansas,AR,5,2017,29000,64900,0.221,167600,152500
Arkansas,AR,5,2018,29800,67600,0.219,174200,158300
Arkansas,AR,5,2019,32000,72100,0.224,183300,167100
Arkansas,AR,5,2020,33700,75700,0.216,195600,181800
Arkansas,AR,5,2021,36600,82700,0.211,223300,202500
Arkansas,AR,5,2022,39900,89500,0.205,259000,228300
California,CA,6,2012,254200,1218800,0.504,492900,445700
California,CA,6,2013,289200,1387200,0.517,548800,493000
California,CA,6,2014,340200,1645700,0.534,623700,559400
California,CA,6,2015,372300,1821000,0.546,666200,597000
California,CA,6,2016,402400,1966400,0.549,716900,640500
California,CA,6,2017,439600,2132200,0.559,769700,688300
California,CA,6,2018,484200,2358800,0.569,832400,743200
California,CA,6,2019,489600,2387000,0.56,854800,763800
California,CA,6,2020,508600,2456400,0.551,903400,808500
California,CA,6,2021,597000,2851200,0.563,1041500,933400
California,CA,6,2022,693500,3315000,0.58,1174800,1052300
Colorado,CO,8,2012,85300,343800,0.322,304800,240700
Colorado,CO,8,2013,88200,357500,0.317,319200,252100
Colorado,CO,8,2014,95100,385300,0.316,346400,270700
Colorado,CO,8,2015,105500,429600,0.318,380300,297400
Colorado,CO,8,2016,121300,494800,0.331,419700,327900
Colorado,CO,8,2017,138000,562700,0.348,456900,353700
Colorado,CO,8,2018,152000,622000,0.354,495400,383100
Colorado,CO,8,2019,162900,667200,0.359,521200,404900
Colorado,CO,8,2020,174500,712400,0.359,555400,433700
Colorado,CO,8,2021,203900,829300,0.359,654100,509800
Colorado,CO,8,2022,232900,942200,0.358,757100,581600
Connecticut,CT,9,2012,118400,242300,0.491,323100,266300
Connecticut,CT,9,2013,114800,235200,0.478,322500,265600
Connecticut,CT,9,2014,116700,241400,0.485,325000,266500
Connecticut,CT,9,2015,118300,243200,0.482,330900,271500
Connecticut,CT,9,2016,115400,237400,0.467,333500,273300
Connecticut,CT,9,2017,115600,237400,0.459,340800,277300
Connecticut,CT,9,2018,116000,238300,0.456,345600,280300
Connecticut,CT,9,2019,117700,240600,0.447,356700,289700
Connecticut,CT,9,2020,124200,253500,0.442,376500,309200
Connecticut,CT,9,2021,138900,283600,0.436,428000,350300
Connecticut,CT,9,2022,149000,307700,0.425,476800,384600
Delaware,DE,10,2012,76600,208700,0.298,248900,254300
Delaware,DE,10,2013,74500,204800,0.287,250100,256700
Delaware,DE,10,2014,75600,208100,0.286,255100,262500
Delaware,DE,10,2015,77400,213800,0.288,260900,268000
Delaware,DE,10,2016,80500,221600,0.29,269000,276000
Delaware,DE,10,2017,81100,224300,0.288,273900,280800
Delaware,DE,10,2018,84400,233800,0.288,284600,291800
Delaware,DE,10,2019,88200,242800,0.287,299900,305600
Delaware,DE,10,2020,93600,257400,0.289,317200,321900
Delaware,DE,10,2021,106200,289000,0.288,363300,366300
Delaware,DE,10,2022,118300,313800,0.282,414600,416500
District of Columbia,DC,11,2012,379500,3747700,0.549,699600,517000
District of Columbia,DC,11,2013,392900,3912000,0.536,748900,551700
District of Columbia,DC,11,2014,408200,4037800,0.519,808400,587100
District of Columbia,DC,11,2015,424400,4197300,0.515,845600,615600
District of Columbia,DC,11,2016,478100,4712800,0.545,898600,653200
District of Columbia,DC,11,2017,510800,5029400,0.557,941400,682000
District of Columbia,DC,11,2018,529900,5197400,0.558,977300,705100
District of Columbia,DC,11,2019,574400,5648500,0.577,1022200,741500
District of Columbia,DC,11,2020,595000,5829900,0.562,1078100,787800
District of Columbia,DC,11,2021,650900,6363500,0.568,1166900,853700
District of Columbia,DC,11,2022,663900,6548600,0.56,1226400,885700
Florida,FL,12,2012,61100,224000,0.331,209600,177700
Florida,FL,12,2013,63500,234600,0.317,224500,191700
Florida,FL,12,2014,69900,259700,0.321,244200,207100
Florida,FL,12,2015,77300,288700,0.328,263500,223500
Florida,FL,12,2016,84500,315500,0.33,286000,241500
Florida,FL,12,2017,92000,344100,0.336,306300,256900
Florida,FL,12,2018,99800,373500,0.343,326700,272200
Florida,FL,12,2019,105600,395600,0.344,344400,287000
Florida,FL,12,2020,117400,439900,0.354,368700,310000
Florida,FL,12,2021,144500,543400,0.366,439400,369100
Florida,FL,12,2022,184500,696700,0.38,545500,453900
Georgia,GA,13,2012,37800,92800,0.258,150400,157100
Georgia,GA,13,2013,36900,91700,0.243,156000,163500
Georgia,GA,13,2014,38800,97200,0.237,168000,175400
Georgia,GA,13,2015,40900,102900,0.234,178400,186600
Georgia,GA,13,2016,44000,110400,0.236,189700,198500
Georgia,GA,13,2017,47400,119300,0.239,202400,210200
Georgia,GA,13,2018,50900,128100,0.224,233200,240400
Georgia,GA,13,2019,54200,136500,0.239,232200,240000
Georgia,GA,13,2020,58400,146600,0.239,251000,259700
Georgia,GA,13,2021,66100,165700,0.234,293600,300000
Georgia,GA,13,2022,76900,192500,0.23,351000,354000
Hawaii,HI,15,2012,361100,1698200,0.557,674400,590900
Hawaii,HI,15,2013,373900,1743700,0.549,710100,622200
Hawaii,HI,15,2014,407900,1905000,0.55,776400,676700
Hawaii,HI,15,2015,454100,2126600,0.587,811400,705400
Hawaii,HI,15,2016,475200,2219700,0.581,858200,745700
Hawaii,HI,15,2017,522800,2466500,0.61,901800,779500
Hawaii,HI,15,2018,552700,2644200,0.618,935500,810200
Hawaii,HI,15,2019,566500,2661400,0.617,959200,835900
Hawaii,HI,15,2020,576700,2696300,0.61,990400,860600
Hawaii,HI,15,2021,636800,3023200,0.588,1132700,984200
Hawaii,HI,15,2022,749200,3490400,0.6,1302500,1139400
Idaho,ID,16,2012,43400,130300,0.233,198200,188400
Idaho,ID,16,2013,44800,136300,0.237,208400,194700
Idaho,ID,16,2014,48600,153400,0.248,216500,198300
Idaho,ID,16,2015,52500,167200,0.253,229200,209000
Idaho,ID,16,2016,57600,184100,0.258,246600,224300
Idaho,ID,16,2017,63300,205300,0.263,266900,240300
Idaho,ID,16,2018,71900,233600,0.265,298100,269400
Idaho,ID,16,2019,82000,267000,0.269,334900,302100
Idaho,ID,16,2020,94400,306700,0.269,384300,347100
Idaho,ID,16,2021,127400,414100,0.276,511900,458500
Idaho,ID,16,2022,159700,523700,0.306,581000,519300
Illinois,IL,17,2012,70300,282400,0.283,235200,224600
Illinois,IL,17,2013,70000,285300,0.284,237600,222900
Illinois,IL,17,2014,75600,309800,0.292,250300,231400
Illinois,IL,17,2015,79400,327300,0.294,260700,240800
Illinois,IL,17,2016,81800,335100,0.289,271600,250600
Illinois,IL,17,2017,85700,353700,0.301,278200,251700
Illinois,IL,17,2018,88500,364700,0.302,287000,257100
Illinois,IL,17,2019,90900,371800,0.298,297300,267500
Illinois,IL,17,2020,93700,382700,0.291,311600,280600
Illinois,IL,17,2021,101100,413100,0.288,343100,303700
Illinois,IL,17,2022,107900,442900,0.289,373300,325400
Indiana,IN,18,2012,29500,87700,0.256,152500,118100
Indiana,IN,18,2013,27500,82300,0.248,151800,117600
Indiana,IN,18,2014,26800,81000,0.237,155600,120100
Indiana,IN,18,2015,28000,84100,0.229,169100,130000
Indiana,IN,18,2016,29100,87200,0.236,168300,131000
Indiana,IN,18,2017,30100,90300,0.232,177900,137400
Indiana,IN,18,2018,31200,94100,0.228,188000,144600
Indiana,IN,18,2019,33100,99400,0.224,202400,156000
Indiana,IN,18,2020,34800,104500,0.217,219000,169300
Indiana,IN,18,2021,38500,115500,0.212,250400,191200
Indiana,IN,18,2022,41800,126300,0.206,284700,214100
Iowa,IA,19,2012,35900,114400,0.24,199500,155900
Iowa,IA,19,2013,33500,108300,0.23,198300,153400
Iowa,IA,19,2014,34200,110900,0.234,201900,154600
Iowa,IA,19,2015,35800,115800,0.233,209900,161900
Iowa,IA,19,2016,36700,119400,0.23,218900,167900
Iowa,IA,19,2017,38300,125300,0.234,225900,172400
Iowa,IA,19,2018,40900,134800,0.239,235300,179000
Iowa,IA,19,2019,41700,136800,0.232,247400,189700
Iowa,IA,19,2020,45100,147600,0.234,259800,202300
Iowa,IA,19,2021,48400,159000,0.237,283900,213100
Iowa,IA,19,2022,53800,176900,0.24,312700,233300
Kansas,KS,20,2012,28600,99800,0.226,180400,129800
Kansas,KS,20,2013,28300,98600,0.225,181300,130000
Kansas,KS,20,2014,28900,101100,0.226,185700,132100
Kansas,KS,20,2015,30200,105900,0.226,193400,137700
Kansas,KS,20,2016,31600,110400,0.225,203800,145100
Kansas,KS,20,2017,32700,114000,0.223,212300,150600
Kansas,KS,20,2018,34500,120500,0.229,221800,155800
Kansas,KS,20,2019,36700,128000,0.23,234500,164900
Kansas,KS,20,2020,40100,139700,0.231,251200,178500
Kansas,KS,20,2021,43400,151900,0.228,280400,195600
Kansas,KS,20,2022,46100,161000,0.218,316300,217200
Kentucky,KY,21,2012,38300,116400,0.186,194700,196200
Kentucky,KY,21,2013,36800,114400,0.194,192700,187400
Kentucky,KY,21,2014,36100,114200,0.195,193200,182500
Kentucky,KY,21,2015,37500,118800,0.193,201400,191300
Kentucky,KY,21,2016,38800,123200,0.19,210500,201100
Kentucky,KY,21,2017,39500,126900,0.19,219200,205600
Kentucky,KY,21,2018,39600,128100,0.186,228100,209600
Kentucky,KY,21,2019,42800,137900,0.189,241600,224300
Kentucky,KY,21,2020,43900,140400,0.18,258600,242300
Kentucky,KY,21,2021,44900,145700,0.171,286700,259000
Kentucky,KY,21,2022,46400,150700,0.165,317200,279400
Louisiana,LA,22,2012,61500,201000,0.22,199300,245600
Louisiana,LA,22,2013,59700,197700,0.218,200000,237500
Louisiana,LA,22,2014,58200,194100,0.215,200800,232900
Louisiana,LA,22,2015,62900,211800,0.218,210900,245200
Louisiana,LA,22,2016,68400,228300,0.224,219600,254800
Louisiana,LA,22,2017,68400,233600,0.226,221100,253500
Louisiana,LA,22,2018,69300,233900,0.228,224500,255600
Louisiana,LA,22,2019,73900,251400,0.229,233300,266800
Louisiana,LA,22,2020,84200,288000,0.234,251000,298100
Louisiana,LA,22,2021,83500,289100,0.229,264600,301300
Louisiana,LA,22,2022,83200,280800,0.225,281500,308300
Maine,ME,23,2012,75700,121700,0.36,255600,210100
Maine,ME,23,2013,74200,120200,0.351,258500,210500
Maine,ME,23,2014,70300,115100,0.343,253200,204600
Maine,ME,23,2015,76300,124100,0.358,263600,212600
Maine,ME,23,2016,81400,131300,0.363,276300,223200
Maine,ME,23,2017,79600,129500,0.344,285700,230200
Maine,ME,23,2018,85500,139900,0.343,308800,247900
Maine,ME,23,2019,87600,142400,0.335,323200,260400
Maine,ME,23,2020,101900,163800,0.347,358100,292500
Maine,ME,23,2021,106800,172600,0.313,420100,338900
Maine,ME,23,2022,120000,193900,0.302,491100,391700
Maryland,MD,24,2012,121300,424400,0.403,315300,285000
Maryland,MD,24,2013,122000,426900,0.395,323100,292200
Maryland,MD,24,2014,125300,442100,0.394,333600,301100
Maryland,MD,24,2015,127000,447500,0.393,339500,305700
Maryland,MD,24,2016,131200,463100,0.394,350200,314600
Maryland,MD,24,2017,135700,481400,0.393,362500,324300
Maryland,MD,24,2018,137700,486200,0.389,373800,334000
Maryland,MD,24,2019,141500,501600,0.389,385200,343700
Maryland,MD,24,2020,147800,521300,0.384,407200,363300
Maryland,MD,24,2021,161700,572700,0.376,456700,404800
Maryland,MD,24,2022,172900,616000,0.37,498300,439600
Massachusetts,MA,25,2012,164300,502300,0.519,379100,316000
Massachusetts,MA,25,2013,167000,517600,0.514,390600,323500
Massachusetts,MA,25,2014,178600,567100,0.513,419300,343700
Massachusetts,MA,25,2015,185300,581600,0.508,438600,360900
Massachusetts,MA,25,2016,198200,634000,0.511,465600,382300
Massachusetts,MA,25,2017,213500,689700,0.517,498000,405000
Massachusetts,MA,25,2018,225300,723700,0.518,525200,426000
Massachusetts,MA,25,2019,240000,777600,0.519,554400,451600
Massachusetts,MA,25,2020,257500,836000,0.52,585800,482900
Massachusetts,MA,25,2021,284900,923100,0.513,662100,543300
Massachusetts,MA,25,2022,310000,1007600,0.509,734400,595400
Michigan,MI,26,2012,35600,106900,0.272,154300,128000
Michigan,MI,26,2013,34100,104300,0.258,159200,131000
Michigan,MI,26,2014,35700,112100,0.256,172100,138800
Michigan,MI,26,2015,38700,122200,0.259,182500,147600
Michigan,MI,26,2016,41400,129600,0.26,195600,157900
Michigan,MI,26,2017,42000,133100,0.257,207000,163900
Michigan,MI,26,2018,44700,142100,0.258,221900,173200
Michigan,MI,26,2019,47200,150700,0.255,236500,185200
Michigan,MI,26,2020,50600,158200,0.25,256500,202000
Michigan,MI,26,2021,56200,178600,0.249,290000,224000
Michigan,MI,26,2022,60100,194200,0.245,321000,243900
Minnesota,MN,27,2012,70600,213800,0.341,256600,215700
Minnesota,MN,27,2013,68600,209000,0.328,264400,221800
Minnesota,MN,27,2014,67700,209700,0.312,276900,228700
Minnesota,MN,27,2015,71900,222100,0.32,287900,237600
Minnesota,MN,27,2016,74700,232500,0.316,303700,249900
Minnesota,MN,27,2017,78800,248100,0.32,321500,262300
Minnesota,MN,27,2018,85400,269600,0.325,339600,277100
Minnesota,MN,27,2019,88600,276900,0.319,359200,292900
Minnesota,MN,27,2020,93100,289200,0.314,382800,312400
Minnesota,MN,27,2021,100000,312300,0.306,425000,344000
Minnesota,MN,27,2022,113400,352100,0.317,461900,372900
Mississippi,MS,28,2012,25600,54800,0.234,142000,132400
Mississippi,MS,28,2013,24600,52800,0.228,138100,130000
Mississippi,MS,28,2014,23500,50500,0.222,138000,127400
Mississippi,MS,28,2015,24300,52500,0.218,143300,133600
Mississippi,MS,28,2016,25200,54800,0.215,147600,139100
Mississippi,MS,28,2017,25000,53200,0.212,152200,140700
Mississippi,MS,28,2018,26600,57300,0.217,157700,145900
Mississippi,MS,28,2019,27200,58900,0.211,166600,154000
Mississippi,MS,28,2020,29200,63000,0.205,178600,168800
Mississippi,MS,28,2021,30000,65100,0.194,198700,182000
Mississippi,MS,28,2022,31700,67300,0.188,224300,202900
Missouri,MO,29,2012,33000,117000,0.199,173600,163800
Missouri,MO,29,2013,32300,115700,0.198,173400,161900
Missouri,MO,29,2014,32100,114800,0.196,177600,164100
Missouri,MO,29,2015,32800,117400,0.192,184000,170000
Missouri,MO,29,2016,34400,122700,0.193,193200,178400
Missouri,MO,29,2017,36000,129200,0.195,202100,184700
Missouri,MO,29,2018,37600,135100,0.195,212500,193300
