"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,250",""
"SURVEY","2025","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,510",""
"SURVEY","2025","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,030",""
"SURVEY","2025","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,200",""
"SURVEY","2025","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","850",""
"SURVEY","2025","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,900",""
"SURVEY","2025","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,500",""
"SURVEY","2025","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,850",""
"SURVEY","2025","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","16,400",""
"SURVEY","2025","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","16,600",""
"SURVEY","2025","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","15,200",""
"SURVEY","2025","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,020",""
"SURVEY","2025","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","725",""
"SURVEY","2025","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","630",""
"SURVEY","2025","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,010",""
"SURVEY","2025","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,300",""
"SURVEY","2025","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,950",""
"SURVEY","2025","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,360",""
"SURVEY","2025","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,470",""
"SURVEY","2025","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,050",""
"SURVEY","2025","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,710",""
"SURVEY","2025","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,360",""
"SURVEY","2025","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,140",""
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,750",""
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,350",""
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,150",""
"SURVEY","2025","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,470",""
"SURVEY","2025","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,540",""
"SURVEY","2025","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,100",""
"SURVEY","2025","YEAR","","STATE","OREGON","41","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,440",""
"SURVEY","2025","YEAR","","STATE","OREGON","41","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,780",""
"SURVEY","2025","YEAR","","STATE","OREGON","41","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,080",""
"SURVEY","2025","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2025","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2025","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2025","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","9,560",""
"SURVEY","2025","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","8,490",""
"SURVEY","2025","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,240",""
"SURVEY","2025","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","32,900",""
"SURVEY","2025","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","22,500",""
"SURVEY","2025","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","16,900",""
"SURVEY","2025","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,000",""
"SURVEY","2025","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,740",""
"SURVEY","2025","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,300",""
"SURVEY","2025","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,610",""
"SURVEY","2025","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,970",""
"SURVEY","2025","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,340",""
"SURVEY","2025","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,050",""
"SURVEY","2025","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,150",""
"SURVEY","2025","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,600",""
"SURVEY","2025","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,710",""
"SURVEY","2025","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,970",""
"SURVEY","2025","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,300",""
"SURVEY","2025","YEAR","","STATE","UTAH","49","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,790",""
"SURVEY","2025","YEAR","","STATE","UTAH","49","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2025","YEAR","","STATE","UTAH","49","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,900",""
"SURVEY","2025","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,350",""
"SURVEY","2025","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,400",""
"SURVEY","2025","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,830",""
"SURVEY","2025","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,170",""
"SURVEY","2025","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,100",""
"SURVEY","2025","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,300",""
"SURVEY","2025","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,480",""
"SURVEY","2025","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,710",""
"SURVEY","2025","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","960",""
"SURVEY","2025","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,220",""
"SURVEY","2025","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,520",""
"SURVEY","2025","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,330",""
"SURVEY","2025","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","7,250",""
"SURVEY","2025","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","6,420",""
"SURVEY","2025","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","3,300",""
"SURVEY","2025","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","2,000",""
"SURVEY","2025","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2025","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","755",""
